t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid
316546,401,-807,3802,-456,48,-2,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316548,402,-817,3799,-562,46,24,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316550,402,-836,3791,-660,43,49,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316552,402,-874,3792,-738,38,72,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316554,407,-947,3788,-791,36,90,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316556,409,-1076,3730,-808,29,107,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316558,409,-1076,3730,-808,29,107,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316560,405,-1138,3711,-774,24,103,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316562,414,-1196,3692,-718,21,91,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316564,416,-1241,3675,-642,18,74,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316566,422,-1268,3655,-553,10,51,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316568,440,-1290,3633,-452,5,27,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316570,451,-1295,3602,-344,4,2,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316572,457,-1291,3593,-235,6,-21,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316574,471,-1293,3601,-124,8,-47,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316576,472,-1284,3619,94,14,-90,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316578,472,-1284,3619,94,14,-90,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316580,473,-1275,3618,196,14,-110,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316582,486,-1218,3676,343,15,-146,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316584,500,-1172,3709,382,18,-162,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316586,502,-1119,3736,392,20,-172,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316588,506,-1064,3778,378,19,-178,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316590,503,-1018,3803,341,19,-176,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316592,499,-971,3801,282,18,-170,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316594,492,-952,3798,207,15,-160,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316596,475,-925,3784,125,9,-144,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316598,450,-906,3749,33,-2,-125,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316600,449,-886,3711,-65,-14,-106,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316602,457,-889,3678,-161,-28,-86,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316604,473,-887,3657,-253,-34,-66,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316606,488,-889,3628,-344,-32,-45,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316608,505,-914,3631,-423,-22,-23,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316610,497,-959,3649,-490,-8,-1,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316612,505,-1030,3690,-534,11,19,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316614,505,-1102,3734,-549,32,33,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316616,498,-1185,3806,-536,52,42,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316618,479,-1268,3873,-497,68,46,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316620,465,-1331,3943,-439,77,40,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316622,453,-1363,3989,-367,75,26,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316624,454,-1380,4023,-285,69,7,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316626,458,-1343,4027,-203,66,-16,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316628,438,-1297,4021,-135,61,-38,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316630,431,-1241,3971,-81,47,-53,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316632,423,-1211,3905,-40,22,-68,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316634,427,-1181,3820,-5,-1,-80,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316636,428,-1126,3728,22,-16,-91,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316638,424,-1083,3669,28,-21,-98,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316640,422,-1061,3609,17,-15,-105,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316642,413,-1047,3592,4,-6,-106,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316644,404,-1029,3580,-3,0,-102,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316646,401,-1028,3585,-1,3,-94,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316648,382,-1005,3563,1,5,-89,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316650,391,-984,3553,-7,6,-84,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316652,403,-952,3518,-25,9,-82,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316654,426,-932,3500,-53,14,-81,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316656,463,-925,3517,-83,29,-73,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316658,469,-921,3578,-115,50,-63,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316660,473,-942,3657,-144,70,-53,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316662,469,-992,3764,-162,81,-46,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316664,459,-1050,3847,-165,86,-40,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316666,457,-1118,3948,-151,84,-40,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316668,458,-1157,4046,-122,77,-43,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316670,461,-1155,4115,-89,62,-50,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316672,472,-1137,4144,-61,44,-61,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316674,481,-1105,4105,-48,23,-70,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316676,477,-1070,4039,-54,5,-77,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316678,484,-1040,3972,-73,-7,-83,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316680,488,-1010,3886,-99,-14,-88,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316682,488,-985,3781,-127,-17,-88,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316684,490,-965,3677,-154,-17,-80,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316686,488,-946,3598,-181,-14,-72,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316688,482,-927,3536,-210,-5,-60,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316690,462,-916,3503,-244,4,-46,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316692,445,-913,3498,-290,16,-33,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316694,435,-920,3495,-341,29,-20,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316696,422,-957,3509,-388,39,-5,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316698,416,-1011,3545,-425,43,7,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316700,422,-1069,3561,-445,45,16,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316702,436,-1119,3574,-448,42,20,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316704,436,-1157,3597,-440,36,21,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316706,439,-1183,3623,-424,33,16,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316708,447,-1218,3661,-399,32,7,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316710,451,-1252,3696,-363,31,0,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316712,459,-1281,3731,-309,23,-11,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316714,462,-1317,3748,-246,13,-22,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316716,468,-1323,3751,-180,2,-37,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316718,480,-1317,3752,-115,-6,-55,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316720,492,-1302,3762,-49,-8,-74,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
